transaction_id,sale_date,taxing_state,rate_applied,sale_price,trade_in_value,taxable_base,tax_owed,tax_collected,variance,category
T000001,2025-11-24,CA,0.0875,15594.04,0.0,15594.04,1364.48,1364.48,0.0,clean
T000002,2025-10-30,TX,0.0625,22820.18,6559.78,16260.4,1016.28,1016.28,0.0,clean
T000003,2025-04-23,PA,0.06,23349.99,0.0,23349.99,1401.0,1401.02,0.02,clean
T000004,2025-02-22,TX,0.0625,14931.26,8047.92,6883.34,430.21,933.2,502.99,tradein_credit_error
T000005,2025-07-13,NC,0.03,14388.94,0.0,14388.94,431.67,287.78,-143.89,rate_mismatch
T000006,2025-05-29,AZ,0.081,41453.67,0.0,41453.67,3357.75,3357.74,-0.01,clean
T000007,2025-04-18,FL,0.07,28246.47,0.0,28246.47,1977.25,1977.23,-0.02,clean
T000008,2025-08-25,IL,0.0725,22019.93,0.0,22019.93,1596.44,1596.46,0.02,clean
T000009,2025-04-28,FL,0.07,32685.54,0.0,32685.54,2287.99,2288.01,0.02,clean
T000010,2025-04-19,CA,0.0875,27876.28,0.0,27876.28,2439.17,2439.17,0.0,clean
T000011,2025-10-27,CA,0.0875,22945.46,0.0,22945.46,2007.73,2007.76,0.03,clean
T000012,2025-03-20,FL,0.07,27194.29,0.0,27194.29,1903.6,1903.6,0.0,clean
T000013,2025-10-11,IL,0.0725,34115.31,16658.12,24115.31,1748.36,1748.34,-0.02,clean
T000014,2025-03-22,NY,0.08,23438.9,0.0,23438.9,1875.11,1898.55,23.44,sourcing_error
T000015,2025-11-17,CA,0.0875,20433.6,0.0,20433.6,1787.94,1787.96,0.02,clean
T000016,2025-09-29,FL,0.07,36671.61,0.0,36671.61,2567.01,2566.99,-0.02,clean
T000017,2025-01-30,PA,0.06,19170.12,0.0,19170.12,1150.21,1150.18,-0.03,clean
T000018,2025-12-04,NY,0.08,23868.63,0.0,23868.63,1909.49,1909.51,0.02,clean
T000019,2025-12-20,IL,0.0725,18207.66,0.0,18207.66,1320.06,1320.03,-0.03,clean
T000020,2025-01-11,TX,0.0625,26282.38,7571.61,18710.77,1169.42,1356.53,187.11,rate_mismatch
T000021,2025-02-06,IL,0.0725,24666.45,0.0,24666.45,1788.32,1788.33,0.01,clean
T000022,2025-05-05,FL,0.07,31461.58,0.0,31461.58,2202.31,2202.31,0.0,clean
T000023,2025-01-28,OH,0.0725,28327.66,0.0,28327.66,2053.76,2053.74,-0.02,clean
T000024,2025-04-08,FL,0.07,25134.93,6871.77,18263.16,1278.42,1278.39,-0.03,clean
T000025,2025-11-30,CA,0.0875,44218.58,0.0,44218.58,3869.13,3869.12,-0.01,clean
T000026,2025-01-31,AZ,0.081,17234.83,6138.51,11096.32,898.8,898.82,0.02,clean
T000027,2025-12-05,IL,0.0725,29519.87,9407.48,20112.39,1458.15,1659.27,201.12,rate_mismatch
T000028,2025-09-15,IL,0.0725,36717.39,0.0,36717.39,2662.01,2294.84,-367.17,rate_mismatch
T000029,2025-12-12,GA,0.07,34156.02,0.0,34156.02,2390.92,2390.91,-0.01,clean
T000030,2025-10-26,NC,0.03,25764.83,0.0,25764.83,772.94,772.95,0.01,clean
T000031,2025-08-23,PA,0.06,20797.65,0.0,20797.65,1247.86,1039.88,-207.98,rate_mismatch
T000032,2025-09-17,OH,0.0725,19720.66,0.0,19720.66,1429.75,1429.77,0.02,clean
T000033,2025-11-10,IL,0.0725,41293.14,0.0,41293.14,2993.75,2993.78,0.03,clean
T000034,2025-05-16,NY,0.08,15732.53,6627.95,9104.58,728.37,728.38,0.01,clean
T000035,2025-05-16,CA,0.0875,24484.23,0.0,24484.23,2142.37,2142.33,-0.04,clean
T000036,2025-03-08,OH,0.0725,27426.82,0.0,27426.82,0.0,0.0,0.0,clean
T000037,2025-07-09,TX,0.0625,26151.01,6563.33,19587.68,1224.23,1224.24,0.01,clean
T000038,2025-07-01,NY,0.08,31320.78,0.0,31320.78,2505.66,2505.63,-0.03,clean
T000039,2025-04-01,OH,0.0725,34954.36,17289.33,17665.03,1280.71,1280.69,-0.02,clean
